Nombre del Sujeto Obligado:,Alcaldía Tlalpan
Formato:,Obra pública o servicios
Periodo:,
ID,FECHA CREACION, FECHA MODIFICACION,"EJERCICIO","FECHA DE INICIO DEL PERIODO QUE SE INFORMA (DÍA/MES/AÑO)","FECHA DE TÉRMINO DEL PERIODO QUE SE INFORMA (DÍA/MES/AÑO)","DENOMINACIÓN DE LA OBRA O SERVICIOS RELACIONADOS","NÚMERO DE CONTRATO","FECHA DEL CONTRATO","MONTO TOTAL DE LA OBRA O SERVICIOS RELACIONADOS","TIPO DE VIALIDAD","NOMBRE DE VIALIDAD","NÚMERO EXTERIOR","NÚMERO INTERIOR  EN SU CASO","TIPO DE ASENTAMIENTO HUMANO","NOMBRE DEL ASENTAMIENTO HUMANO","CLAVE DE LA LOCALIDAD","NOMBRE DE LA LOCALIDAD","CLAVE DE LA DEMARCACIÓN TERRITORIAL O MUINICIPIO","NOMBRE DE LA DEMARCACIÓN TERRITORIAL O MUNICIPIO","CLAVE DE LA ENTIDAD FEDERATIVA","NOMBRE DE LA ENTIDAD FEDERATIVA","CÓDIGO POSTAL","FECHA DE INICIO","FECHA DE TÉRMINO","SUJETO OBLIGADO ORDENADOR DE LA OBRA","SUJETO OBLIGADO RESPONSABLE DE LA OBRA","NOMBRE DEL PROVEEDOR  CONTRATISTA O PERSONA FÍSICA","HIPERVÍNCULO MECANISMOS DE VIGILANCIA DE LA OBRA","HIPERVÍNCULO ESTUDIOS IMPACTO AMBIENTAL Y SÍSMICOS","ÁREA(S) RESPONSABLE(S) DE LA INFORMACIÓN","FECHA DE VALIDACIÓN","FECHA DE ACTUALIZACIÓN","NOTA"
38236435,"13/11/20","13/11/20","2020","01/04/2020","30/06/2020","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","0","01/01/2020","0","Calle","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","0","0","Colonia","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","0","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","0","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","0","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","0","01/04/2020","30/06/2020","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO_SE_GENERO_INFO.pdf","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO_SE_GENERO_INFO.pdf","Dirección General de Obras y Desarrollo Urbano","30/06/2020","30/06/2020","NO SE GENERO INFORMACION DURANTE ESTE TRIMESTRE QUE REPORTAR"
26692341,"16/08/19","20/08/19","2018","01/10/2018","31/12/2018","SUPERVISIÓN PARA MANTENER, CONSERVAR Y REHABILITAR BANQUETAS EN LAS COLONIAS: 1.- EL ZACATÓN CON CLAVE DE COMITÉ 12-039, 2.- EX HACIENDA SAN JUAN DE DIOS CON CLAVE DE COMITÉ 12-042, 3.- MIGUEL HIDALGO CON CLAVE DE COMITÉ 12-095, 4.- PRADO COAPA 3A SECCIÓN-POTRERO ACOXPA CON CLAVE DE COMITÉ 12-131, 5.- RANCHO LOS COLORINES (FRACC) CON CLAVE DE COMITÉ 12-136, 6.- VILLA LÁZARO CÁRDENAS CON CLAVE DE COMITÉ 12-194.","ATL-ADS-064-L-SOB-134-18","19/10/2018","62922.63","Calle","MIGUEL HIDALGO","SN","SN","Colonia","NO ES ASENTAMIENTO","12-095","MIGUEL HIDALGO","012","Alcaldía Tlalpan","09","CIUDAD DE MEXICO","14250","24/10/2018","22/12/2018","Alcaldía Tlalpan","Alcaldía Tlalpan","TRES VEINTIUNO, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTO-AMB_SIS.pdf","Direccion General de Obras y Desarrollo Urbano","15/01/2019","31/12/2018",""
26692344,"16/08/19","20/08/19","2018","01/10/2018","31/12/2018","SUPERVISIÓN PARA MANTENER, CONSERVAR Y REHABILITAR BANQUETAS EN LAS COLONIAS: 1.- EL ZACATÓN CON CLAVE DE COMITÉ 12-039, 2.- EX HACIENDA SAN JUAN DE DIOS CON CLAVE DE COMITÉ 12-042, 3.- MIGUEL HIDALGO CON CLAVE DE COMITÉ 12-095, 4.- PRADO COAPA 3A SECCIÓN-POTRERO ACOXPA CON CLAVE DE COMITÉ 12-131, 5.- RANCHO LOS COLORINES (FRACC) CON CLAVE DE COMITÉ 12-136, 6.- VILLA LÁZARO CÁRDENAS CON CLAVE DE COMITÉ 12-194.","ATL-ADS-064-L-SOB-134-18","19/10/2018","62922.63","Calle","VILLA LAZARO CARDENAS","SN","SN","Colonia","NO ES ASENTAMIENTO","12-194","VILLA LAZARO CARDENAS","012","Alcaldía Tlalpan","09","CIUDAD DE MEXICO","14370","24/10/2018","22/12/2018","Alcaldía Tlalpan","Alcaldía Tlalpan","TRES VEINTIUNO, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTO-AMB_SIS.pdf","Direccion General de Obras y Desarrollo Urbano","15/01/2019","31/12/2018",""
26692352,"16/08/19","20/08/19","2018","01/10/2018","31/12/2018","SUPERVISIÓN PARA EL MANTENIMIENTO Y REHABILITACIÓN DE ESPACIOS PÚBLICOS EN LA DELEGACIÓN TLALPAN: 1.- BARDA EN LA COLONIA CULTURA MAYA.","ATL-ADS-059-L-SOB-141-18","19/10/2018","80219.8","Calle","CULTURA MAYA","SN","SN","Colonia","NO ES ASENTAMIENTO","12-032","CULTURA MAYA","012","Alcaldía Tlalpan","09","CIUDAD DE MEXICO","14230","22/10/2018","20/12/2018","Alcaldía Tlalpan","Alcaldía Tlalpan","TRES VEINTIUNO, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTO-AMB_SIS.pdf","Direccion General de Obras y Desarrollo Urbano","15/01/2019","31/12/2018",""
26692364,"16/08/19","20/08/19","2018","01/10/2018","31/12/2018","MEJORAMIENTO DE VIALIDADES SECUNDARIAS EN LAS COLONIAS: 1.- SANTA ÚRSULA XITLA, 2.- ISIDRO FABELA, 3.- TORIELLO GUERRA, 4.- BOSQUES DE TEPEXIMILPA Y MEJORAMIENTO DE VIALIDADES SECUNDARIAS EN LAS COLONIAS: 5.- TLAMILLE.","ATL-LP-069-L-OB-145-18","23/10/2018","6916715.61","Calle","CALLE CERRO ZACAPOXTLA ENTRE CERRO DE LAS BATALLAS Y TERMINO, COLONIA TLALMILLE","SN","SN","Colonia","NO ES ASENTAMIENTO","12-176","TLAMILLE.","012","Alcaldía Tlalpan","09","CIUDAD DE MEXICO","14657","24/10/2018","22/12/2018","Alcaldía Tlalpan","Alcaldía Tlalpan","CYNTHIA ULLOA RODRÍGUEZ","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTO-AMB_SIS.pdf","Direccion General de Obras y Desarrollo Urbano","15/01/2019","31/12/2018",""
26692365,"16/08/19","20/08/19","2018","01/10/2018","31/12/2018","REHABILITACIÓN Y CONSERVACIÓN DE LA CARPETA ASFÁLTICA EN VIALIDADES SECUNDARIAS EN COMITÉS CIUDADANOS DE LAS SIGUIENTES COLONIAS: 28.- SAN LORENZO HUIPULCO CON CLAVE DE COMITÉ 12-153 Y 29.- SAN PEDRO APÓSTOL (BARR) CON CLAVE DE COMITÉ 12-159","ATL-ADO-013-L-OB-149-18","31/10/2018","686049.62","Calle","LA PAZ Y CALLEJON LOS LUNA ENTRE CALLE MENDOZA Y JUAN BOSCO, COL. SAN LORENZO HUIPULCO CON CLAVE DE COMITÉ 12-153","SN","SN","Colonia","NO ES ASENTAMIENTO","12-153","SAN LORENZO HUIPULCO","012","Alcaldía Tlalpan","09","CIUDAD DE MEXICO","14370","30/10/2018","13/12/2018","Alcaldía Tlalpan","Alcaldía Tlalpan","CONSTRUCCIÓN  Y CONSULTORIA BORÉ","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTO-AMB_SIS.pdf","Direccion General de Obras y Desarrollo Urbano","15/01/2019","31/12/2018",""
26692367,"16/08/19","20/08/19","2018","01/10/2018","31/12/2018","SUMINISTRO Y COLOCACIÓN DE 6 MODULOS RECREATIVOS EN DIVERSAS COLONIAS DE LA DELEGACIÓN TLALPAN: 6.- LOMAS HIDALGO CON CLAVE DE COMITÉ 12-086","ATL-ADO-014-L-OB-150-18","31/10/2018","342000","Calle","6.- LOMAS HIDALGO CON CLAVE DE COMITÉ 12-086","SN","SN","Colonia","NO ES ASENTAMIENTO","12-086","6.- LOMAS HIDALGO","012","Alcaldía Tlalpan","09","CIUDAD DE MEXICO","14240","05/11/2018","19/12/2018","Alcaldía Tlalpan","Alcaldía Tlalpan","CONSTRUCCION, MANTENIMIENTO Y ASESORIA DE OBRAS DUMA, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTO-AMB_SIS.pdf","Direccion General de Obras y Desarrollo Urbano","15/01/2019","31/12/2018",""
26692335,"16/08/19","20/08/19","2018","01/10/2018","31/12/2018","CONSERVACIÓN Y REHABILITACIÓN DE ESPACIOS DEPORTIVOS: 2.- DEPORTIVO VIVANCO.","ATL-LP-066-L-OB-142-18","23/10/2018","5745986.57","Calle","MONEDA","SN","SN","Colonia","NO ES ASENTAMIENTO","12-177","TLALPAN CENTRO","12","TLALPAN","09","CDMX","14000","24/10/2018","20/12/2018","Alcaldía Tlalpan","Alcaldía Tlalpan","INGENIERIA, ASESORIA Y MANTENIMINTO S.A DE C.V","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://repositorio.tlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTO-AMB_SIS.pdf","Direccion General de Obras y Desarrollo Urbano","15/01/2019","31/12/2018",""
40541264,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","""CONSERVACIÓN Y REHABILITACIÓN A EDIFICIOS PÚBLICOS EN LAS SIGUIENTES UBICACIONES: 4.- CAMPAMENTO VILLA COAPA, CALLE CÁRCAMO, ESQUINA CANAL DE MIRAMONTES, UNIDAD HABITACIONAL NARCISO MENDOZA, 5.- CAMPAMENTO EL HOYO, LIMANTITLA, COL. LA JOYA, 6.- CAMPAMENTO PIPAS Y MÓDULOS DE GARZAS, CALLE CONGRESO 50, ESQUINA TEZOQUIPA, TLALPAN CENTRO"".","ATL-LP-016-L-OB-045-19","17/09/2019","6408389.2","Calle","CARCAMO","S/N","S/N","Colonia","VILLA COAPA","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14390","18/09/2019","16/11/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DE UNIDAD DEPARTAMENTAL DE MANTENIMIENTO A EDIFICIOS PUBLICOS","ARCH EFFECT, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541375,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","SUPERVISIÓN PARA EL MANTENIMIENTO Y REHABILITACIÓN DE INFRAESTRUCTURA EDUCATIVA","ATL-ADS-016-L-SOB-020-19","12/09/2019","221505.9","Calle","CERRO SAN PEDRO","S/N","S/N","Colonia","TLALMILLE","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14657","12/09/2019","25/11/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","JULIO CESAR HERNANDEZ GARCIA","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
