Nombre del Sujeto Obligado:,Alcaldía Xochimilco
Formato:,Obra pública inv. restr
Periodo:,
ID,FECHA CREACION, FECHA MODIFICACION,"EJERCICIO","FECHA DE INICIO DEL PERIODO QUE SE INFORMA (DÍA/MES/AÑO)","FECHA DE TÉRMINO DEL PERIODO QUE SE INFORMA (DÍA/MES/AÑO)","TIPO DE OBRA","LUGAR DE LA OBRA","PLAZO EN EL QUE SE EJECUTARÁ LA OBRA:","NÚMERO DE CONTRATO","FECHA DEL CONTRATO","ORIGEN DE LOS RECURSOS PARA REALIZAR LA OBRA","MONTO ORIGINAL DE LA OBRA","MONTO FINAL DE LA OBRA","NÚMERO DE BENEFICIARIOS POR LA OBRA REALIZADA","IDENTIFICACIÓN DEL S.OBLIGADO ORDENADOR DE LA OBRA","IDENTIFICACIÓN DEL S.O. RESPONSABLE DE LA OBRA","NOMBRE DEL PROVEEDOR  CONTRATISTA O PERSONA FÍSICA","HIPERVÍNCULO A MECANISMOS DE VIGILANCIA Y SUPERVIS","HIPERVÍNCULO A LOS ESTUDIOS DE IMPACTO AMBIENTAL Y SÍSMICOS","ÁREA(S) RESPONSABLE(S) DE LA INFORMACIÓN","FECHA DE VALIDACIÓN","FECHA DE ACTUALIZACIÓN","NOTA"
35390413,"29/07/20","29/07/20","2020","01/04/2020","30/06/2020","OBRA PUBLICA",35390413,35390413,"XO-DGODU-L-OP-IR-014-20","06/05/2020","LOCAL","3448271.99","3999995.51","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","LTEZ, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/2do/Art_143/SUBCOMITEJUNIO","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/2do/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","30/06/2020","30/06/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
35390415,"29/07/20","29/07/20","2020","01/04/2020","30/06/2020","OBRA PUBLICA",35390415,35390415,"XO-DGODU-L-OP-IR-016-20","06/05/2020","LOCAL","1615168.87","1873595.89","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE OBRAS VIALES","MULTIDIVINORT EXPORTACIONES Y CONSTRUCCIONES, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/2do/Art_143/SUBCOMITEJUNIO","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/2do/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","30/06/2020","30/06/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
38565243,"12/01/21","12/01/21","2020","01/10/2020","31/12/2020","Obra pública",38565243,38565243,"XO-DGODU-L-OP-LP-045-20","28/10/2020","LOCAL","2865326.28","3323778.48","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","INOVAGUA, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/SUBCOMITEDICIEMBRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","31/12/2020","31/12/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
38565238,"12/01/21","12/01/21","2020","01/10/2020","31/12/2020","Obra pública",38565238,38565238,"XO-DGODU-L-OP-LP-040-20","27/10/2020","LOCAL","947439.91","1099030.3","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","CEPID, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/SUBCOMITEDICIEMBRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","31/12/2020","31/12/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
29600359,"26/12/19","26/12/19","2019","01/07/2019","30/09/2019","OBRA",29600359,29600359,"XO-DGODU-L-OP-IR-025-19","26/08/2019","FISCAL","4309505.64","4999026.54","0","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO DE LA ALCALDÍA XOCHIMILCO","UNIDAD DEPARTAMENTAL DE MANTENIMIENTO A EDIFICIOS PÚBLICOS","FORZA ECOZISTEMAS, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/3er/Art_143/VIGILANCIA.pdf","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/3er/Art_143/impactoambiental.pdf","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","23/12/2019","23/12/2019","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
29600354,"26/12/19","26/12/19","2019","01/04/2019","30/06/2019","OBRA",29600354,29600354,"XO-DGODU-L-OP-IR-015-19","03/06/2019","FISCAL","2057566.38","2386777","0","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO DE LA ALCALDÍA XOCHIMILCO","UNIDAD DEPARTAMENTAL DE MANTENIMIENTO A EDIFICIOS PÚBLICOS DE LA ALCALDÍA XOCHIMILCO","DISTRIBUIDORA SAN, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/2do/Art_143/NOINFO.pdf","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/2do/Art_143/NOINFO.pdf","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","04/12/2019","04/12/2019","NO SE GENERÓ INFORMACION PARA LA COLUMNA DE NOTA"
38565244,"12/01/21","12/01/21","2020","01/10/2020","31/12/2020","Obra pública",38565244,38565244,"XO-DGODU-L-OP-LP-046-20","28/10/2020","LOCAL","3448126.78","3999827.06","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","FORZA ECOSISTEMAS S.A., DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/SUBCOMITEDICIEMBRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","31/12/2020","31/12/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
29600360,"26/12/19","26/12/19","2019","01/07/2019","30/09/2019","OBRA",29600360,29600360,"XO-DGODU-L-OP-IR-034-19","10/09/2019","FISCAL","2602811.5","3019261.34","0","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO DE LA ALCALDÍA XOCHIMILCO","UNIDAD DEPARTAMENTAL DE MANTENIMIENTO A EDIFICIOS PÚBLICOS","FORZA ECOZISTEMAS, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/3er/Art_143/VIGILANCIA.pdf","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/3er/Art_143/impactoambiental.pdf","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","23/12/2019","23/12/2019","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
29600356,"26/12/19","26/12/19","2019","01/04/2019","30/06/2019","OBRA",29600356,29600356,"XO-DGODU-L-OP-IR-017-19","24/06/2019","FISCAL","2659474.65","3084990.59","0","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO DE LA ALCALDÍA XOCHIMILCO","UNIDAD DEPARTAMENTAL DE MANTENIMIENTO A EDIFICIOS PÚBLICOS","UNICA CONSTRUCCIONES, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/2do/Art_143/NOINFO.pdf","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/2do/Art_143/NOINFO.pdf","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","04/12/2019","04/12/2019","NO SE GENERÓ INFORMACION PARA LA COLUMNA DE NOTA"
40749396,"10/04/21","10/04/21","2021","01/01/2021","31/03/2021","Obra pública",40749396,40749396,"NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","31/03/2021","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","0","0","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2021/1er/Art_143/NOINFO","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2021/1er/Art_143/NOINFO","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","31/03/2021","31/03/2021","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
